,id,user_activity,pol_interest,privacy_preference,user_satisfaction,issue_0,issue_1,issue_2,issue_3,issue_4,issue_5,pol_inclination
0,0,0.892802,0.446372,0.464249,0,0.02225200000000016,-0.222144,-0.5365159999999999,-0.14503,0.22767999999999988,0.14371400000000012,-0.021041333333333315
1,1,0.985946,0.771925,0.472525,0,-0.4411879999999999,0.13862400000000008,0.2418720000000001,-0.010466000000000086,0.3264879999999999,0.2756700000000001,-0.09221866666666667
2,2,0.802128,0.635493,0.343913,0,-0.42203599999999986,-0.173002,-0.17484599999999983,0.02916799999999986,-0.17306600000000005,-0.18163200000000002,-0.1481606666666665
3,3,1.0,0.801835,0.280063,0,0.06437000000000004,0.03258199999999989,0.05020400000000014,0.18158600000000003,-0.078542,-0.16171400000000002,-0.005473999999999906
4,4,0.571918,0.436997,0.405626,0,0.10030400000000017,0.48843799999999993,-0.39964599999999995,0.1044179999999999,-0.294902,-0.461522,-0.2418593333333332
5,5,1.0,0.370926,0.484022,0,0.2709680000000001,0.11328800000000006,0.34803800000000007,-0.07442800000000005,-0.25197,-0.13856400000000002,0.15558000000000005
6,6,0.678089,0.447527,0.251744,0,0.21462800000000004,-0.49557000000000007,0.09089000000000014,-0.22082600000000008,0.04392599999999991,-0.19665,0.4208300000000001
7,7,0.752024,0.386692,0.554483,0,0.11417400000000022,-0.07712000000000008,-0.027195999999999887,0.38237199999999993,0.04916600000000004,-0.01470399999999994,-0.05146799999999984
8,8,1.0,0.44204,0.478113,0,-0.6843019999999999,-0.499776,0.3677140000000001,-0.04515800000000003,-0.14749400000000001,-0.16202399999999995,0.08095866666666673
9,9,0.993263,0.623218,0.113291,0,0.0817960000000002,-0.22871400000000008,0.23490200000000017,0.008577999999999975,-0.250108,-0.12618600000000002,0.1376373333333335
10,10,0.897883,0.461468,0.452363,0,-0.24942799999999987,0.666752,0.21205000000000007,-0.13697800000000004,0.11366199999999993,-0.27671999999999997,-0.058923333333333286
11,11,1.0,0.436803,0.324303,0,-0.09383399999999986,-0.16700400000000004,0.297488,0.188728,-0.18073800000000007,-0.37917199999999995,0.126788
12,12,0.979982,0.394728,0.508471,0,0.20535400000000004,-0.27897799999999995,0.5429220000000001,-0.34281800000000007,0.08021400000000001,-0.04941399999999996,0.4999
13,13,1.0,0.378075,0.585403,0,0.14973400000000003,0.2440199999999999,-0.0772139999999999,0.09315799999999985,0.34214199999999995,-0.216206,0.09789666666666677
14,14,0.717101,0.529943,0.537154,0,0.046336000000000155,-0.07772200000000007,0.04702600000000001,-0.310144,-0.040980000000000016,0.26381999999999994,0.05880933333333342
15,15,0.735416,0.431284,0.587339,0,-0.19809399999999988,0.442412,0.016396000000000077,-0.12908200000000003,-0.08874000000000004,-0.08371200000000001,-0.1666853333333333
16,16,0.97796,0.527611,0.56264,0,0.135764,-0.33798799999999996,-0.25526799999999983,0.3556379999999999,-0.07704600000000006,0.03394800000000009,-0.08271599999999997
17,17,0.575492,0.337616,0.374982,0,0.4479440000000001,-0.352676,0.10159800000000008,0.10956799999999989,-0.2583,0.21134600000000003,0.1076680000000001
18,18,1.0,0.606097,0.48821,0,0.2878320000000001,0.38536799999999993,-0.27293999999999996,-0.2616780000000001,-0.09681000000000006,-0.43715400000000004,0.07718200000000008
19,19,1.0,0.339434,0.554411,0,0.3811500000000001,-0.012854000000000032,-0.4796659999999999,0.523946,-0.37004800000000004,-0.3582639999999999,-0.20713066666666666
20,20,0.399357,0.462254,0.416827,0,-0.6647279999999999,0.15207799999999994,0.12361000000000022,0.033134,-0.2007080000000001,-0.5085299999999999,-0.1395026666666666
21,21,0.999778,0.696256,0.552378,0,0.15281600000000006,0.16897600000000002,-0.48230799999999996,-0.12714400000000003,-0.42816600000000005,0.02013200000000004,-0.2732073333333333
22,22,0.930026,0.311453,0.445198,0,-0.7365319999999999,-0.424928,-0.10871399999999987,0.189098,-0.12402000000000002,-0.026258000000000004,-0.23572599999999994
23,23,1.0,0.44521,0.591357,0,0.7234260000000001,0.25266600000000006,0.3944000000000001,-0.023863999999999996,-0.06370799999999999,0.35625400000000007,0.15635400000000008
24,24,0.998474,0.294088,0.55025,0,-0.1106339999999999,-0.11192000000000002,0.11146400000000001,0.03538399999999986,-0.7480420000000001,-0.3667039999999999,-0.10132399999999997
25,25,0.955927,1.0,0.129321,0,0.21301000000000014,0.2128000000000001,-0.006049999999999889,-0.03934800000000005,0.09433000000000002,-0.5943539999999999,0.2407306666666667
26,26,1.0,0.420714,0.28652,0,0.2297800000000001,0.319906,-0.45660199999999995,-0.08056200000000002,-0.2676480000000001,-0.48445399999999994,-0.08312000000000001
27,27,0.845629,0.293688,0.422195,0,-0.23471599999999992,-0.338692,0.21224600000000016,0.42282399999999987,-0.539466,-0.558804,-0.02908799999999989
28,28,0.599928,0.651531,0.439399,0,0.119726,0.13391200000000003,-0.05469999999999986,0.12324199999999985,0.11768,-0.411118,0.11222333333333341
29,29,1.0,0.356216,0.128228,0,0.38741800000000004,-0.016410000000000036,0.5443600000000002,0.10379800000000006,0.2713399999999999,-0.13785800000000004,0.4178626666666667
30,30,1.0,0.366118,0.552161,0,0.4332640000000001,-0.018406000000000033,-0.18198199999999987,0.10562800000000006,0.38589399999999996,0.009141999999999983,0.18027066666666672
31,31,1.0,0.613616,0.412688,0,0.5821360000000002,-0.476344,-0.4129839999999999,-0.09401999999999999,-0.11936200000000008,0.35625799999999996,0.08796533333333342
32,32,1.0,0.481146,0.666934,0,0.29534800000000017,0.571788,-0.09068799999999988,-0.12690800000000002,-0.234804,-0.22916000000000003,-0.08195466666666654
33,33,0.462812,0.522516,0.364419,0,-0.3254739999999998,0.06201799999999991,-0.08824999999999994,-0.39953800000000006,0.13441599999999987,-0.18908199999999997,0.08243133333333343
34,34,0.998322,0.436083,0.394472,0,0.35795600000000016,0.633562,-0.39647599999999983,0.05531200000000003,-0.06034000000000006,-0.26803200000000005,-0.1732339999999999
35,35,0.696969,0.27416,0.83216,0,0.3378800000000002,-0.636064,0.03281600000000018,0.22770199999999985,-0.15797000000000005,0.11348200000000008,0.16920200000000013
36,36,1.0,0.52119,0.627861,0,0.15563000000000016,-0.41489200000000004,0.35600200000000015,-0.249544,-0.053557999999999995,-0.20235399999999992,0.4416213333333334
37,37,0.645184,0.221683,0.373885,0,0.4297460000000002,0.08535599999999999,0.054894,-0.39609000000000005,-0.5290320000000001,0.13555000000000006,0.04359733333333338
38,38,1.0,0.414601,0.561841,0,-0.23267599999999988,0.598004,0.4861040000000001,-0.07308200000000009,0.08707399999999987,-0.03204399999999996,-0.05079199999999995
39,39,0.915113,0.674055,0.428761,0,-0.0919279999999999,0.3836599999999999,0.23498600000000014,-0.42561800000000005,-0.1706700000000001,-0.08589800000000003,0.03341466666666677
40,40,0.976427,0.596069,0.553404,0,0.24762000000000017,0.28390800000000005,-0.09996199999999988,0.10716400000000004,-0.03713600000000006,0.48066600000000004,-0.2537386666666666
41,41,1.0,0.459778,0.249094,0,0.19520800000000005,-0.32923199999999997,0.275458,-0.5451900000000001,0.3264579999999999,-0.13679799999999998,0.6027813333333334
42,42,0.910811,0.778213,0.584902,0,0.1993980000000002,0.2055419999999999,0.11392400000000014,0.011052000000000062,0.3282639999999999,-0.214746,0.2132460000000001
43,43,0.536975,0.57213,0.456719,0,0.35094000000000003,0.24207599999999996,0.16571200000000008,-0.24597599999999997,0.09403000000000006,-0.373688,0.3294233333333334
