,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
0,2.0,-0.459769,3458,2835,1203,1226,1609,0.119089,0.06893406701184575,0.001232318651171147,0.0009513057784893853,-0.035636,1.5159211576022675e-06,0.8909184540246484
1,5.0,-0.455548,2756,3185,853,1370,1815,0.118978,0.06895362031083817,0.001022843725349857,0.0005784218482071048,-0.035498,8.119649095917975e-06,0.8909250577525868
2,4.0,-0.672528,3798,3508,530,2030,1478,0.118622,0.0692482127018753,0.0014917675092471787,0.00023024531126077254,-0.034838,4.659108592021441e-05,0.8909250577525868
3,3.0,-0.597208,1968,181,3857,100,81,0.118595,0.06923064994716954,0.0014126583277071015,0.00023024531126077254,-0.034852,4.97140949158404e-05,0.8909250577525868
4,4.0,-0.698781,3798,3757,281,2180,1577,0.118181,0.06929073404441936,0.0008898304511882975,0.0013015667491705321,-0.034076,8.326700900348585e-05,0.8909250577525868
5,0.0,-0.368672,2756,3249,789,1198,2051,0.118011,0.06921027935939984,0.0013013413518748176,0.0011356093663677494,-0.034044,8.309738781012115e-05,0.8909248881313935
6,1.0,-0.61331,2756,3106,932,1688,1418,0.117716,0.0691020611444739,0.0012645351450776793,0.001306504097039533,-0.033915,8.945190831849782e-05,0.8909312426519018
7,4.0,-0.17765,3325,597,3441,96,501,0.117695,0.06909690341064212,0.0012329974780854486,0.0008360808791010159,-0.03389,8.934703396841116e-05,0.8909311377775518
8,5.0,0.720011,710,3,4035,1,2,0.117684,0.06908983520280512,0.0012329974780854486,0.0008360808791010159,-0.033891,5.045088393127325e-05,0.8908922416275147
9,0.0,-0.663821,2756,3744,294,2086,1658,0.117619,0.0693671636695581,0.001211634565287848,0.0007782727286682967,-0.033838,5.4978011107967154e-05,0.8908922416275147
10,1.0,0.33854,959,3133,905,1067,2066,0.117712,0.0694085824012811,0.0013964727722700768,0.000656036224185196,-0.033896,5.9954861813587354e-05,0.8908972184782203
11,0.0,-0.744866,2756,3766,272,2197,1569,0.117612,0.06940465426272312,0.0020034975295920706,0.0006674401802544936,-0.03381,6.935783284602112e-05,0.8908972184782203
12,3.0,0.593472,1141,3216,822,1734,1482,0.117694,0.06933390665985487,0.0022063368938924537,0.0007578358862066675,-0.033814,8.696137332633803e-05,0.8909148220187006
13,3.0,0.364569,1141,3636,402,1360,2276,0.117851,0.06951842919412152,0.002148585731560364,-0.0001513255943332055,-0.033796,7.572064542339176e-05,0.8909035812907976
14,1.0,0.672398,824,3820,218,2129,1691,0.11831,0.06950018421585111,0.0023367725407881816,-0.0006668335142335623,-0.034017,6.762309033549871e-05,0.8908954837357098
15,3.0,0.814067,1141,3776,262,2391,1385,0.118522,0.0695774341175183,0.0022794627560879794,-0.0007654952576466886,-0.034041,2.9688172451534028e-05,0.8908575488178259
16,4.0,-0.85685,3798,3820,218,2358,1462,0.118157,0.06996107897564385,0.003081073312652958,-0.0008476227976503088,-0.033257,6.547544652927603e-05,0.8908575488178259
17,0.0,-0.785117,2756,3797,241,2284,1513,0.118082,0.06989099683517182,0.0022309176780751145,-0.0007847600829476199,-0.033185,8.578557279815448e-05,0.8908778589440948
18,2.0,-0.39117,3458,3578,460,1366,2212,0.118,0.07000806794443058,0.002306941479709542,-0.0007847600829476199,-0.033177,8.476288291341953e-05,0.89087683625421
19,4.0,-0.272472,3054,688,3350,184,504,0.117969,0.06994793169655343,0.002306941479709542,-0.0007454289750727476,-0.033154,7.404545285647475e-05,0.890866118824153
20,5.0,-0.248584,2756,2856,1182,705,2151,0.117819,0.06982846276758094,0.0023257354032970305,-0.0009762197865612824,-0.033053,7.374884478516997e-05,0.8908658222160817
21,3.0,-0.828362,3379,3825,213,2432,1393,0.117573,0.06969049275818907,0.0015600240529856113,-0.0008027951174999387,-0.032969,0.00019773923844696744,0.8908658222160817
22,5.0,-0.692933,2756,3994,44,2262,1732,0.117414,0.06976591934976362,0.0019281785415653718,-0.0009307368882120504,-0.03277,0.00021769372485158124,0.8908857767024864
23,4.0,-0.708449,808,3462,576,1936,1526,0.117127,0.07006770779724181,0.002849665796980783,-0.001078231184947751,-0.032143,0.0002569707389639853,0.8909146422220043
