,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,1005,2751,1287,1239,1512,0.123207,0.061936912518753565,-0.002128346382022031,-0.004506299577888712,-0.048542,-2.3257712305026e-05
1,5.0,-0.455548,2277,3209,829,1332,1877,0.122872,0.06171554908397655,-0.002475892844729796,-0.0040765442967866635,-0.048403,-9.833129487496905e-05
2,4.0,-0.672528,3026,3974,64,2139,1835,0.122681,0.06194169385220809,-0.002671936875881759,-0.004136344696657431,-0.048175,-8.523682279592157e-05
3,3.0,-0.597208,351,3945,93,1988,1957,0.1224,0.06200079897883291,-0.0031589956043384403,-0.0031891419544835776,-0.047796,-0.00010034400279096986
4,4.0,-0.698781,1031,3142,896,1687,1455,0.122188,0.06198549937756362,-0.0027821174093974987,-0.002738688560278482,-0.047604,-8.15118413648743e-05
5,0.0,-0.368672,284,18,4020,3,15,0.122189,0.06198678496561222,-0.0027821174093974987,-0.002738688560278482,-0.047604,-9.072716694051183e-05
6,1.0,-0.61331,260,3669,369,1946,1723,0.121718,0.062146900616389576,-0.0030490808701126044,-0.002125044928873314,-0.047135,-9.840325158580842e-05
7,4.0,-0.17765,417,1875,2163,323,1552,0.121685,0.062092550474360936,-0.0031459059656514486,-0.0026628075783657894,-0.047107,-9.757425100810769e-05
8,5.0,0.720011,2475,3641,397,2050,1591,0.121911,0.06218575173834631,-0.0034857453927775953,-0.002044553716289127,-0.047186,-0.0001119664914366566
9,0.0,-0.663821,3452,3817,221,1980,1837,0.12175,0.06226378035590209,-0.003857442385940046,-0.0007706075548828433,-0.047008,-7.456995764116265e-05
10,1.0,0.33854,1605,3057,981,991,2066,0.122038,0.06209069470398591,-0.0035508670231264106,-0.0009833165061410836,-0.047251,-6.537784325641396e-05
11,0.0,-0.744866,3674,3817,221,2086,1731,0.121822,0.062001122025664004,-0.0030344987596918212,-0.0012841780978444523,-0.04705,-6.05321339224204e-05
12,3.0,0.593472,1098,2985,1053,1488,1497,0.122399,0.06214781484786814,-0.002976877214474084,-0.0011972270338339085,-0.04767,-0.00010639062199702632
13,3.0,0.364569,3080,3646,392,1241,2405,0.122887,0.06225438749717698,-0.0032107295659915065,-0.00026808076440710453,-0.04809,-9.911521554328364e-05
14,1.0,0.672398,2282,19,4019,9,10,0.122886,0.06225399780257073,-0.0032107295659915065,-0.00026808076440710453,-0.04809,-0.00018483116008401152
15,3.0,0.814067,3080,3844,194,2292,1552,0.123598,0.062472857695274824,-0.0032447973181054996,0.00025083445575742823,-0.04882,-0.00022020850596170401
16,4.0,-0.85685,1078,3203,835,1927,1276,0.123531,0.06256725974007218,-0.0029880095060398335,6.525386762221238e-05,-0.048728,-0.00022640788204489294
17,0.0,-0.785117,284,3840,198,2126,1714,0.123274,0.06268249587018954,-0.0034587826453847713,0.00024410480552086706,-0.048404,-0.0002461658419359551
18,2.0,-0.39117,1456,2816,1222,1101,1715,0.123185,0.06272098124561613,-0.003470907019041392,0.0013572470746691112,-0.048327,-0.00017626960524370455
19,4.0,-0.272472,3705,26,4012,5,21,0.12318,0.06271696144536976,-0.0034852443283763255,0.0013572470746691112,-0.048324,-0.00017517730516942873
20,5.0,-0.248584,467,2431,1607,567,1864,0.123063,0.06263706431105447,-0.003459333692581926,0.001292506653414005,-0.048304,-0.00017890565377056759
21,3.0,-0.828362,138,3856,182,2372,1484,0.122625,0.06273331419710937,-0.0021973078419242134,-0.0004307153579192269,-0.047738,-0.00017450169239398918
22,5.0,-0.692933,2268,3792,246,2090,1702,0.122568,0.06274437827704456,-0.002170647329559003,-0.0006791419953876484,-0.047718,-0.00016953497724172382
23,4.0,-0.708449,2126,3062,976,1660,1402,0.122403,0.06297984347725585,-0.0019004327845658325,0.0008252992745700189,-0.047387,-0.0001637193917007483
24,3.0,-0.17273,57,3112,926,516,2596,0.12232,0.06290554098924828,-0.001656037603647137,0.001410617161443931,-0.047296,-0.00015557031661144052
25,1.0,-0.587247,2338,3575,463,1743,1832,0.121888,0.06258951102562405,-0.0011751499460658336,0.000960555418815273,-0.04687,-0.00019454765423626514
26,4.0,0.931225,1867,177,3861,115,62,0.121952,0.0625761262549773,-0.0011970948481578115,0.0011094548281771531,-0.046961,-0.0001610447574796422
27,3.0,0.460005,1294,3018,1020,1294,1724,0.122596,0.06265512560236963,-0.000867570899457349,0.001514626326704032,-0.047459,-0.0001605299518346806
28,0.0,-0.838253,668,3615,423,2070,1545,0.122503,0.06268912101053475,-0.0009922660897976727,0.0010715524891890596,-0.047371,-0.00013217919669727032
29,1.0,0.335564,284,18,4020,4,14,0.122504,0.06268956834205319,-0.0009922660897976727,0.0010715524891890596,-0.047369,-0.00012792129870271723
30,3.0,-0.331349,3858,3589,449,1166,2423,0.122234,0.06258022589546712,-0.001548196830876418,0.00016232404281575524,-0.047135,-0.00012283202593042886
31,5.0,0.650553,1902,3961,77,2116,1845,0.122333,0.06257463090081733,-0.0017624124612944103,0.0004746744601750221,-0.047216,-0.00012487275383337514
32,0.0,-0.570672,2249,2954,1084,1290,1664,0.122183,0.06258695939766382,-0.0021848260152029114,0.00019907453651984853,-0.047012,-0.00012842365752240706
33,0.0,-0.245424,3869,11,4027,0,11,0.122182,0.06258660270656966,-0.0021848260152029114,0.00019907453651984853,-0.047011,-0.00012366278737002912
34,1.0,-0.556553,2556,3486,552,1664,1822,0.121835,0.06258423364631305,-0.0024730059627199766,1.5919772868812922e-05,-0.046493,-0.00013286582029897192
35,3.0,0.062427,452,421,3617,26,395,0.121839,0.06258577755905809,-0.0024730059627199766,1.5919772868812922e-05,-0.046496,-0.00013410707520648086
36,4.0,-0.551645,3080,3637,401,1663,1974,0.121756,0.06253460600216966,-0.002085006591834514,0.000223377497231627,-0.046414,-0.00013769285138870416
37,1.0,0.52511,284,3762,276,1733,2029,0.122105,0.06269795074252389,-0.0017348944746899513,-0.0005211104141697856,-0.046659,-0.00013723229634582677
38,1.0,-0.489366,3080,3365,673,1480,1885,0.12185,0.06282104559057401,-0.002407508264190396,-0.0005686453986413435,-0.046486,-0.0001352112267741506
