,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,1237,3359,679,1491,1868,0.123198,0.061955812810011744,-0.0025521258194781773,-0.0050118940275799,-0.048564,-8.936989353800445e-06
1,5.0,-0.455548,2611,3723,315,1538,2185,0.123016,0.061776789350446296,-0.0020493194729790188,-0.004441815686253534,-0.048458,2.221733102253033e-05
2,4.0,-0.672528,581,3860,178,2079,1781,0.122618,0.061648402335107495,-0.0016422639649912973,-0.004265666043846664,-0.048192,4.034199059173063e-05
3,3.0,-0.597208,138,3790,248,1965,1825,0.122055,0.061487286909779504,-0.0018069995059409615,-0.005169361186659195,-0.04749,5.09682006684823e-05
4,4.0,-0.698781,3080,3874,164,2099,1775,0.121714,0.06139489476424698,-0.0017264021502816477,-0.004941565262643958,-0.047229,6.554252599653381e-05
5,0.0,-0.368672,284,920,3118,306,614,0.12162,0.061365124294749676,-0.00162802860888654,-0.0041330091728009125,-0.047171,5.8828438351077e-05
6,1.0,-0.61331,3080,3575,463,1822,1753,0.120918,0.061142713513442755,-0.001994089628827669,-0.004092673424071065,-0.046676,5.2498369026986884e-05
7,4.0,-0.17765,2525,19,4019,3,16,0.120916,0.061141787578380374,-0.001994089628827669,-0.004092673424071065,-0.046674,5.2298535055269947e-05
8,5.0,0.720011,3080,3576,462,2049,1527,0.121313,0.061446850247161046,-0.0015183241587451509,-0.004196785329014562,-0.046734,4.37371048332678e-05
9,0.0,-0.663821,2159,3845,193,1983,1862,0.120952,0.06127565101728935,-0.001495531873072831,-0.0035973171511398225,-0.04646,9.96102417483458e-05
10,1.0,0.33854,284,2938,1100,953,1985,0.121358,0.061390769162536676,-0.0008196554560171446,-0.003916994089039904,-0.046656,0.00010392041753443146
11,0.0,-0.744866,3215,3823,215,2066,1757,0.121062,0.06129283518877926,-0.0009108801438788435,-0.004317007382789778,-0.04649,0.00011088525784143815
12,3.0,0.593472,971,3553,485,1702,1851,0.121613,0.06139466524605097,-0.0008520339202926831,-0.003239822485173821,-0.047012,6.511889653088273e-05
13,3.0,0.364569,3080,3540,498,1200,2340,0.121813,0.06146415433950626,-0.001082237897545529,-0.0033551474574584996,-0.047186,7.0520035426649e-05
14,1.0,0.672398,3411,3644,394,1982,1662,0.12225,0.06195003934469036,-0.0016418607827141302,-0.002409747861161254,-0.047403,6.176430050876503e-05
15,3.0,0.814067,1821,3816,222,2277,1539,0.122926,0.06222678243545283,-0.0014967768482239058,-0.002293869876915685,-0.047847,5.786952457412776e-05
16,4.0,-0.85685,3080,3108,930,1831,1277,0.12263,0.06227312403271933,-0.0017123402368701772,-0.0033086421894101582,-0.047541,6.955062138026789e-05
17,0.0,-0.785117,2249,3947,91,2110,1837,0.122356,0.062189653880564126,-0.0012583106864397398,-0.0033086421894101582,-0.04731,4.806472553146043e-05
18,2.0,-0.39117,1237,2737,1301,1027,1710,0.122103,0.06204873855442544,-0.0011699171069972794,-0.0035186298272076406,-0.047233,5.1237000847132624e-05
19,4.0,-0.272472,3080,725,3313,178,547,0.122025,0.0620020862140088,-0.0013747757432502885,-0.0037113656436536533,-0.047186,5.359064036186399e-05
20,5.0,-0.248584,190,195,3843,47,148,0.122007,0.061990974514038025,-0.0013747757432502885,-0.0038247033974925875,-0.047191,4.288536677929404e-05
21,3.0,-0.828362,138,68,3970,45,23,0.122001,0.062023865467898696,-0.0012498583768233613,-0.0038247033974925875,-0.047163,8.023008081742228e-05
22,5.0,-0.692933,467,3974,64,2152,1822,0.121574,0.061688031089535356,-0.0009517744015582164,-0.0036092116145388913,-0.047041,9.033916722494891e-05
23,4.0,-0.708449,2311,3554,484,1815,1739,0.121101,0.0616461925983269,-0.0007014961164945121,-0.0026367024391817694,-0.046644,0.00015007027641039084
24,3.0,-0.17273,138,16,4022,1,15,0.1211,0.06164478380706048,-0.0007014961164945121,-0.0026367024391817694,-0.046643,0.00015143471067629826
25,1.0,-0.587247,3080,3533,505,1764,1769,0.120605,0.06147958564809955,-0.0008955460618566181,-0.0030784840805872637,-0.046173,0.00014696386393205465
26,4.0,0.931225,2249,3734,304,2157,1577,0.120834,0.06143977630799433,-0.0008420557550470083,-0.004326240022283204,-0.046336,0.00012186730537795711
27,3.0,0.460005,2597,3989,49,1670,2319,0.121254,0.061581847492732766,-0.0006982241033497829,-0.004415711505560163,-0.046597,0.00012458737222618684
28,0.0,-0.838253,2249,2694,1344,1535,1159,0.121055,0.061767175409440996,-6.015229301588144e-05,-0.004359392169254385,-0.046409,0.0001210596054522329
29,1.0,0.335564,284,18,4020,4,14,0.121058,0.06176919331753077,-6.015229301588144e-05,-0.004359392169254385,-0.046407,0.00012481895182509746
30,3.0,-0.331349,3603,3771,267,1209,2562,0.120606,0.06167651223391894,3.07832760320268e-05,-0.004607422392301804,-0.04607,0.0001273024130778828
31,5.0,0.650553,116,36,4002,18,18,0.120615,0.061683818197158714,-7.275589623156133e-05,-0.004607422392301804,-0.046076,7.000479815669769e-05
32,0.0,-0.570672,1439,2826,1212,1152,1674,0.120279,0.06153222429421814,0.0003834213425869835,-0.004488635013293532,-0.045965,9.704348595070612e-05
33,0.0,-0.245424,2249,443,3595,89,354,0.120234,0.06150972852175362,0.00024270222633668534,-0.004488635013293532,-0.045949,8.961395512624461e-05
34,1.0,-0.556553,131,78,3960,38,40,0.120225,0.06150958467318423,0.00022799992352607286,-0.004376061707121195,-0.04595,8.254314551990641e-05
35,3.0,0.062427,1575,590,3448,49,541,0.120239,0.061515738982331356,0.00022799992352607286,-0.004376061707121195,-0.04596,8.154272823427467e-05
36,4.0,-0.551645,3080,3195,843,1380,1815,0.120226,0.061498220384956864,6.1791625171953516e-06,-0.004376061707121195,-0.045949,9.912708079679013e-05
37,1.0,0.52511,284,3427,611,1567,1860,0.120873,0.06169673148411054,0.0003462314506571871,-0.004429967726857557,-0.046285,0.00010016169332464357
38,1.0,-0.489366,3080,3111,927,1344,1767,0.120522,0.061713550240701534,-5.548297959770782e-05,-0.004066690140600411,-0.045977,0.00012569823702357895
39,4.0,-0.10524,1050,801,3237,80,721,0.120495,0.0616982454917608,-5.548297959770782e-05,-0.004066690140600411,-0.045974,0.00012983001645979018
