,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,2826,2476,1562,998,1478,0.118294,0.07505850154633163,0.0003344043510019891,-0.005923420219832755,0.02874,-3.4686258974993813e-05
1,5.0,-0.455548,1582,3551,487,1463,2088,0.118031,0.07490513444397427,3.126534877195288e-05,-0.005832256347477186,0.028631,-3.672320331315132e-05
2,4.0,-0.672528,197,3656,382,1914,1742,0.1177,0.07485144571569509,-0.00020356741449233787,-0.0056618462564214135,0.028246,-3.327669540165208e-05
3,3.0,-0.597208,1849,755,3283,392,363,0.117669,0.07483511470525761,-5.061870212446805e-05,-0.0056618462564214135,0.02824,-4.4908652002276894e-05
4,4.0,-0.698781,2826,3662,376,1953,1709,0.117595,0.07510429535508627,6.871068158432048e-05,-0.005918543273930103,0.027958,-9.341174682772875e-05
5,0.0,-0.368672,821,2366,1672,870,1496,0.117325,0.0752595984210146,-0.00021324810679567522,-0.005855134533071894,0.027702,-9.253353439890974e-05
6,1.0,-0.61331,749,3914,124,1924,1990,0.117195,0.07503896413766492,-0.0007067378035223813,-0.005340350189581092,0.027893,-9.245585251159674e-05
7,4.0,-0.17765,2826,1946,2092,294,1652,0.117158,0.0750232339636603,-0.0009683546862884008,-0.005193593966062328,0.027864,-0.00010074657510912795
8,5.0,0.720011,2826,3645,393,2056,1589,0.117424,0.07527080784511848,-0.0015230203196826084,-0.005471349695265078,0.027957,-2.5275592192564454e-05
9,0.0,-0.663821,969,3140,898,1730,1410,0.116917,0.07545692290831754,-0.0014243666627948711,-0.005141719109925913,0.027242,-2.3912804373797432e-05
10,1.0,0.33854,969,3097,941,962,2135,0.116982,0.07565256060418116,-0.0015886939623135298,-0.005141719109925913,0.027121,-3.575133151197795e-05
11,0.0,-0.744866,1350,3847,191,2214,1633,0.116677,0.07552198066112019,-0.0016040833799370409,-0.0041788001319697215,0.026902,-4.964931368578335e-05
12,3.0,0.593472,2826,3074,964,1482,1592,0.117196,0.07537549274235571,5.5925512440210366e-05,-0.003905324405236447,0.027563,-0.00010696253478011364
13,3.0,0.364569,2826,3164,874,1064,2100,0.117443,0.07540877770781496,-0.0006790503995695396,-0.003437682471331751,0.027844,-9.189443624087125e-05
14,1.0,0.672398,2377,2779,1259,1447,1332,0.117688,0.07571910800290073,-0.000543114934555567,-0.0035335766464747362,0.027567,-0.0001238592542651347
15,3.0,0.814067,511,3911,127,2320,1591,0.118396,0.07528747999950354,-0.00013245353211191208,-0.0043321650090059,0.028524,-0.00010693585384777537
16,4.0,-0.85685,2826,3751,287,2229,1522,0.118335,0.07551652753363687,8.689950823032094e-07,-0.004767357570579201,0.028272,-0.00011182069483001668
17,0.0,-0.785117,1565,3149,889,1827,1322,0.117927,0.07576982700452224,0.000651716145111448,-0.004628273370471151,0.027683,-0.00011716095231949428
18,2.0,-0.39117,2826,2444,1594,820,1624,0.11792,0.07580362552346795,0.0006131224462149168,-0.004628273370471151,0.027692,-0.00010842480475821674
19,4.0,-0.272472,2826,2691,1347,634,2057,0.117863,0.07574126922387238,0.0006878175588655517,-0.0049741413832915925,0.027599,-0.00011484311820213849
20,5.0,-0.248584,1582,3608,430,840,2768,0.117772,0.07564568574461877,0.000677068546102024,-0.005156186825901751,0.027566,-0.00011693411732433346
21,3.0,-0.828362,2957,3890,148,2346,1544,0.117027,0.07556062382059986,0.00045996694811593707,-0.005121124201047327,0.02681,-0.0001243496657274035
22,5.0,-0.692933,2347,3405,633,1821,1584,0.116844,0.07550764906724293,0.0005913709069926777,-0.004924079906185506,0.02667,-0.00011336831995974926
23,4.0,-0.708449,3489,19,4019,9,10,0.116846,0.07550967241200363,0.0005913709069926777,-0.004924079906185506,0.026668,-0.00011562409696725938
24,3.0,-0.17273,282,2,4036,0,2,0.116847,0.07551037813740605,0.0005913709069926777,-0.004924079906185506,0.026667,-0.00012205041536290188
25,1.0,-0.587247,1511,3198,840,1517,1681,0.116847,0.07550803521070072,0.0004823211174044666,-0.004976539224970626,0.026705,-0.00011386044507322621
26,4.0,0.931225,3761,19,4019,10,9,0.116845,0.07550643037376183,0.0004823211174044666,-0.004976539224970626,0.026706,-0.0001162948360767315
27,3.0,0.460005,1117,2952,1086,1200,1752,0.117277,0.07559904801657479,0.00021055724852272459,-0.004183768508841937,0.027255,-0.00012387358081552823
28,0.0,-0.838253,645,3067,971,1819,1248,0.117056,0.07552376804572035,0.00014121224206805388,-0.003997784579215412,0.026852,-0.00013196197128121506
29,1.0,0.335564,1261,1947,2091,568,1379,0.117186,0.0756179956739921,-0.00022990984748937545,-0.004165735680218272,0.026748,-0.00013557367019152313
30,3.0,-0.331349,4020,59,3979,20,39,0.117181,0.07561527881318247,-0.00022990984748937545,-0.004165735680218272,0.026745,-0.00014313795900063427
31,5.0,0.650553,398,3623,415,1869,1754,0.117384,0.07569657691601858,-0.0002792244891418811,-0.0039984665058577,0.026829,-0.00010367566635393954
32,0.0,-0.570672,969,3670,368,1717,1953,0.117233,0.07576135607167511,-1.5542334147324235e-05,-0.00440651386427866,0.026494,-0.0001232035610473455
33,0.0,-0.245424,2338,695,3343,157,538,0.117192,0.07579463990166109,0.00013338528709233105,-0.00440651386427866,0.026456,-0.00014802277372375056
34,1.0,-0.556553,2826,2445,1593,1100,1345,0.117179,0.0758178633005769,0.000273203576580426,-0.00440651386427866,0.026501,-0.0001303161136593782
35,3.0,0.062427,2826,495,3543,34,461,0.117194,0.07582539877338143,0.000273203576580426,-0.00440651386427866,0.026513,-0.0001294156680045131
36,4.0,-0.551645,2826,3293,745,1450,1843,0.117143,0.07598230281766215,0.00024825204113562314,-0.004233749402828102,0.026398,-0.00013122740133184437
37,1.0,0.52511,2497,3088,950,1345,1743,0.117337,0.07604513807589001,0.00025356883738638226,-0.004401727726424191,0.026221,-0.00011203455656828902
38,1.0,-0.489366,802,3063,975,1286,1777,0.117162,0.07602212711859564,6.026348068056747e-05,-0.004528647027874224,0.026421,-0.00010278040950218355
39,4.0,-0.10524,2826,400,3638,36,364,0.117151,0.0760601425017688,6.026348068056747e-05,-0.004528647027874224,0.026415,-0.00010390753678746782
40,2.0,0.445429,2084,441,3597,163,278,0.117207,0.07609330316397978,5.114373423506585e-05,-0.0040169851915018324,0.026419,-6.817354322470476e-05
41,1.0,-0.671714,2826,3087,951,1581,1506,0.117086,0.07577473305895124,-0.0002757053022838683,-0.0038167608774952624,0.02662,3.3966961850808975e-05
42,4.0,0.701954,969,3060,978,1578,1482,0.117345,0.07578470180141958,-0.0007568885290652672,-0.0046305065341804355,0.026875,3.221634288571861e-05
43,4.0,0.749719,3553,698,3340,360,338,0.117441,0.0758935496874779,-0.0008665457041595928,-0.004625697124600877,0.026959,5.5048386708447015e-05
44,1.0,0.357057,523,2026,2012,629,1397,0.117549,0.07606153124060576,-0.0008553443878525536,-0.004558832089366721,0.026873,4.5564232214760454e-05
45,2.0,0.262092,2066,703,3335,152,551,0.117581,0.07613201163617829,-0.0007554293515906479,-0.004558832089366721,0.026858,4.2267673660662905e-05
46,1.0,0.323409,969,2238,1800,688,1550,0.117695,0.0762639239135367,-0.0005209748362704445,-0.004823252746510204,0.026733,8.106399700802613e-05
47,4.0,-0.673508,2846,2121,1917,1071,1050,0.117587,0.0764389713388686,-9.498182287911934e-05,-0.004778646169278395,0.026504,7.403115757709311e-05
48,1.0,0.686776,1684,3679,359,1874,1805,0.117877,0.07677298303195357,5.9932478241341956e-05,-0.003962927089114843,0.026207,6.887490779815206e-05
49,2.0,-0.370808,2363,2629,1409,819,1810,0.117764,0.07655244343828904,-3.762744172269431e-06,-0.003171140163639912,0.026248,6.908457072744857e-05
50,1.0,0.382281,3301,2749,1289,952,1797,0.117984,0.07695230351780391,0.0007298382388294693,-0.0031703848458743897,0.026025,5.7024828216926174e-05
51,0.0,-0.826821,969,3863,175,2217,1646,0.117829,0.0767997241841293,0.0004645311005159293,-0.002276327637331361,0.025854,3.8410694355409283e-05
52,4.0,-0.7165,2318,3696,342,1913,1783,0.11747,0.07676111616329208,0.0006026520738490908,-0.0024602532746004274,0.025431,3.308790406078191e-05
53,2.0,-0.621121,323,3935,103,1883,2052,0.117352,0.07674017674318152,0.0007811902592757914,-0.002344766057112224,0.025481,-2.2625118964719458e-05
54,5.0,-0.46916,3302,3683,355,1498,2185,0.117225,0.07674746123278997,0.0008574933919468797,-0.0024249212196489726,0.025373,-6.820174684290712e-05
55,4.0,-0.67529,3096,2785,1253,1376,1409,0.117008,0.0767150332629753,0.00040216975655264146,-0.0022909139452711165,0.025089,-0.00013499127395357808
56,0.0,0.527943,2900,2917,1121,1237,1680,0.117223,0.07673582179453599,3.6748836858638906e-05,-0.00264107581857145,0.025334,-0.0001183004965334246
57,1.0,0.480674,2050,550,3488,207,343,0.117228,0.0767418091276503,-2.275366487383168e-06,-0.002977200627356223,0.025327,-0.00012904431307217182
58,5.0,0.64602,594,3632,406,1870,1762,0.117561,0.07713805884173776,6.778614127289978e-05,-0.0029746693330064866,0.025452,-0.00011457978050004417
59,0.0,-0.408563,3690,443,3595,172,271,0.117465,0.07703221072121777,4.961083753854876e-05,-0.0029746693330064866,0.025357,-0.00011432083026483743
60,2.0,0.548847,506,3760,278,1603,2157,0.117904,0.07729699190302773,0.0005344823345936259,-0.003068841185122764,0.025314,-0.00012041295702888794
61,0.0,0.428672,2826,2758,1280,1012,1746,0.118052,0.07717948512797214,-8.03953434377626e-05,-0.003068841185122764,0.02543,-0.0001374652471997223
62,4.0,0.552901,969,1996,2042,845,1151,0.118186,0.07704334843111756,0.0002297595765930595,-0.003373342642280416,0.025528,-9.492021129974707e-05
63,3.0,0.778063,2458,3840,198,2174,1666,0.118859,0.07722004604891439,-4.653307081098143e-05,-0.003139420859813121,0.026372,-0.00010528441035892015
64,1.0,-0.536411,2826,3603,435,1660,1943,0.118791,0.0771610439265708,-0.00027032550006123523,-0.003191101484162514,0.026427,-9.817145170578819e-05
65,0.0,-0.623669,969,2704,1334,1312,1392,0.118586,0.07716550868368831,0.0001373749252766583,-0.0023390476013143524,0.026162,-0.00013189940416926925
66,3.0,0.509756,1570,3029,1009,1341,1688,0.119387,0.07723262454239677,-0.00036018070138506443,-0.0025702296673769122,0.02697,-0.00014956700341000535
67,0.0,0.655686,2808,3113,925,1531,1582,0.119803,0.07767070017704525,-0.0008278629987261472,-0.0025631585050803997,0.027204,-0.00012883763970611826
68,4.0,-0.339661,2826,987,3051,286,701,0.119791,0.07771620831448672,-0.0008554229085602431,-0.0025631585050803997,0.027187,-0.000149838233912605
69,4.0,0.55661,969,3046,992,1344,1702,0.120035,0.0778485560181505,-0.001416775620438713,-0.002439693990303205,0.027383,-0.00013401496082520717
70,2.0,0.649722,2066,3639,399,1826,1813,0.120419,0.07832335722410172,-0.0012727805409918753,-0.0020659277996527585,0.0274,-0.0001103625221027511
71,0.0,0.676847,2114,3035,1003,1553,1482,0.120819,0.07858069011673234,-0.0012511715585857173,-0.001963410962604038,0.027628,-0.00012870542876281546
72,3.0,0.768761,2826,3917,121,2249,1668,0.121569,0.07865242842462068,-0.000927140371087926,-0.0010011850056767342,0.028316,-0.00013848824629190682
73,0.0,-0.505987,969,2290,1748,966,1324,0.121321,0.07848420564608524,-0.000760712515502347,-0.0004852529739473073,0.02818,-0.00013769649090691056
74,0.0,0.50125,2826,3100,938,1290,1810,0.121583,0.07836187636729389,-0.00027671874656892014,-0.00024740699631553987,0.028315,-0.00014168820090113357
75,4.0,-0.412028,2826,1951,2087,664,1287,0.121376,0.07838886192984564,-1.255216732840483e-05,-0.0002919600923542994,0.028151,-0.00015059584305678265
76,4.0,0.505494,1996,189,3849,82,107,0.121385,0.07839148759682989,-1.255216732840483e-05,-0.0002919600923542994,0.028159,-0.0001252085689790406
77,5.0,0.41513,2826,3623,415,1392,2231,0.121525,0.0784174300516741,0.00016397361385528392,-0.000138822689822278,0.028213,-0.00010002693986292277
78,2.0,-0.426455,2826,3175,863,1154,2021,0.121477,0.07843252295561004,3.7967355363805694e-05,7.557837207393194e-05,0.02824,-0.00010501146573566356
79,5.0,-0.271491,1582,2408,1630,628,1780,0.121301,0.07848989404469049,-0.00020561211575656282,-0.000144877277611659,0.028177,-0.00010493394429696359
80,1.0,-0.600844,3169,731,3307,363,368,0.121303,0.07840200260485809,-0.00023656277022213358,-4.7100874643343896e-05,0.028266,-0.00012510826962501507
81,0.0,0.826338,2826,3927,111,2286,1641,0.121845,0.07882452322266602,-0.0005541881458576912,0.0007295891373626363,0.028661,-0.00013852434621162892
82,1.0,-0.335564,2826,2380,1658,757,1623,0.121786,0.07852583617881921,-0.0005023795538332563,0.0008417938551947548,0.028749,-0.00012615993670432514
83,0.0,-0.552554,969,3202,836,1456,1746,0.121522,0.07839998619177856,-0.0007533783579767273,0.0008463123608905064,0.028535,-0.00012186156251929585
84,1.0,0.669822,1684,2283,1755,1191,1092,0.12186,0.07871163644589659,-0.0005393843639703888,0.0010229460448196305,0.028212,-0.00012727949187474688
85,5.0,-0.51065,3031,3640,398,1597,2043,0.12176,0.07861137356868358,-0.0006470198622636099,0.0010803624374040568,0.028148,-0.00018168046983958966
