,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,687,3595,443,1500,2095,0.117448,0.07668567934439513,-0.0020233410354232027,0.00332552977942307,-0.023595,-2.4793157340925983e-06
1,5.0,-0.455548,323,3017,1021,1375,1642,0.117269,0.07674577815613652,-0.0018007061779868755,0.003845192832816185,-0.023263,6.565683182718496e-05
2,4.0,-0.672528,2534,3682,356,2034,1648,0.116988,0.07668694186995921,-0.0014148558116413275,0.00258816691056938,-0.023139,0.00010808149139638526
3,3.0,-0.597208,1660,3657,381,1824,1833,0.116714,0.07652156900327921,-0.0009971524913153817,0.002682512135633616,-0.023097,9.802112992077248e-05
4,4.0,-0.698781,2534,3656,382,2019,1637,0.116439,0.07626688547187768,-0.0005153899427829929,0.0030490289443808618,-0.022982,0.0001350490328670463
5,0.0,-0.368672,474,2882,1156,988,1894,0.1164,0.07632915385787303,-0.0006224343365410759,0.002504133124005904,-0.022944,0.00012382457136667495
6,1.0,-0.61331,1660,2859,1179,1462,1397,0.116177,0.07561599220446277,-0.00012639789298576434,0.003483786350829734,-0.023402,0.00011621354450359002
7,4.0,-0.17765,2534,19,4019,1,18,0.116177,0.07561635619975875,-0.00012639789298576434,0.003483786350829734,-0.023401,0.00011731095941409495
8,5.0,0.720011,3287,3129,909,1898,1231,0.116743,0.07549203469538049,-0.0006777108387738034,0.0033100216722590954,-0.024035,0.00010009547212940638
9,0.0,-0.663821,2345,14,4024,5,9,0.116741,0.07548897979274971,-0.0006525909365199797,0.0033100216722590954,-0.024031,-6.303758527674385e-07
10,1.0,0.33854,3525,467,3571,156,311,0.116832,0.07568279266511277,-0.00032683817819161704,0.0035462543991376244,-0.023997,8.01423915094635e-06
11,0.0,-0.744866,1660,3180,858,1761,1419,0.116661,0.07558399037214718,0.00025594855443353357,0.002374260882828027,-0.023825,6.998901196007011e-06
12,3.0,0.593472,2338,3626,412,1714,1912,0.117011,0.07583650272202486,0.0002219701224019303,0.002242760076121853,-0.024025,5.290862358809846e-08
13,3.0,0.364569,1579,2527,1511,793,1734,0.117169,0.07581721382909594,0.0004121520069712013,0.0007796669537743087,-0.024144,-2.7309408781710242e-05
14,1.0,0.672398,1087,3658,380,1943,1715,0.117428,0.07625157273243623,-0.0003425804292049996,0.0008704567321727337,-0.023894,-2.960642846480012e-05
15,3.0,0.814067,2338,3644,394,2116,1528,0.117779,0.0762474373365561,0.00019464252687448726,0.0007941167384672128,-0.024135,-3.175541336205193e-05
16,4.0,-0.85685,2534,3553,485,2130,1423,0.117595,0.07632753055189044,-0.00014025155129649317,0.0009214694307705968,-0.024126,-6.227448519269052e-06
17,0.0,-0.785117,1660,3234,804,1841,1393,0.117509,0.07626901636086789,-0.0010054291361703237,0.0013885418711494432,-0.02399,-1.1569252596185781e-05
18,2.0,-0.39117,1429,3457,581,1254,2203,0.117325,0.07621601723940859,-0.00043514956939232655,0.0014932779851626506,-0.023999,2.5414258173806804e-05
19,4.0,-0.272472,3942,3105,933,760,2345,0.117121,0.07616149243490516,5.994390657997916e-05,0.0009124844279168415,-0.023938,2.9966084120823375e-05
20,5.0,-0.248584,1660,1659,2379,436,1223,0.116974,0.07627630830561892,-0.0002596688833797607,0.0005316621369005457,-0.023744,3.178006654221481e-05
21,3.0,-0.828362,1757,3728,310,2173,1555,0.116847,0.07608233388454536,-0.00027829019185038366,0.00077854698090076,-0.023718,4.767119058281892e-05
22,5.0,-0.692933,616,3921,117,2327,1594,0.116479,0.07619447082220923,0.00019065925592322885,0.001169555212046597,-0.02315,6.252024356623067e-05
23,4.0,-0.708449,2534,3610,428,1941,1669,0.116272,0.07586027023567567,0.0008971158986308731,0.0017602686489294904,-0.023057,7.843398459123684e-05
24,3.0,-0.17273,2656,2268,1770,360,1908,0.116198,0.07577232675367743,0.0008984469004365787,0.0014227691655978062,-0.023014,7.644636389304424e-05
25,1.0,-0.587247,1660,3563,475,1784,1779,0.11614,0.07570500179348158,0.0016415386271825946,0.001119324720518235,-0.02322,0.00010985637874820641
26,4.0,0.931225,1660,3585,453,2178,1407,0.116628,0.07574406422773522,0.0017388754211943263,0.0019371190446065484,-0.023412,8.793194613287259e-05
27,3.0,0.460005,3853,3541,497,1416,2125,0.116886,0.07581167733778987,0.0018729496330836552,0.0014401824547209052,-0.023488,8.779612043344203e-05
28,0.0,-0.838253,323,3780,258,2212,1568,0.116747,0.07583172753419003,0.0010402462565125227,0.0018135195426125317,-0.023129,5.5318101121731216e-05
29,1.0,0.335564,3192,719,3319,235,484,0.116767,0.07593536891802564,0.001057055736837553,0.001726318815651967,-0.023106,5.074269466798854e-05
30,3.0,-0.331349,57,258,3780,94,164,0.116728,0.07591475472978255,0.0010953685515432503,0.001726318815651967,-0.023084,7.210832972617125e-05
31,5.0,0.650553,2402,3463,575,1971,1492,0.117339,0.07599627186383122,0.0010418566794132362,0.003645759105791213,-0.023862,6.414249659915962e-05
32,0.0,-0.570672,2124,3002,1036,1337,1665,0.117163,0.07590508664718787,0.0009433477399682561,0.0033406530027643494,-0.023658,6.819784423246219e-05
33,0.0,-0.245424,1660,2842,1196,595,2247,0.117075,0.07591206961901457,0.0011735412099444073,0.0030824097787153135,-0.023629,6.565505827059044e-05
34,1.0,-0.556553,1660,3487,551,1674,1813,0.116907,0.07529045876938951,0.0004349240941342181,0.0028259051082132765,-0.023952,6.368059243746341e-05
35,3.0,0.062427,2338,86,3952,2,84,0.116908,0.07529111420133823,0.0004349240941342181,0.0028259051082132765,-0.023952,6.412002825078354e-05
36,4.0,-0.551645,1823,3426,612,1561,1865,0.116531,0.07528211671610008,0.0003258742572288998,0.002425664501334728,-0.023763,6.702933748574268e-05
37,1.0,0.52511,786,2518,1520,1101,1417,0.116808,0.07563094753687066,0.0003405240881996444,0.00247653714136602,-0.023588,7.220945632704002e-05
38,1.0,-0.489366,865,3515,523,1508,2007,0.116669,0.07557557493835301,0.0008644503502244827,0.002712293101359059,-0.023791,3.730699284598037e-05
39,4.0,-0.10524,635,399,3639,40,359,0.116664,0.07557762243571978,0.0008644503502244827,0.002712293101359059,-0.023793,3.758304496526829e-05
40,2.0,0.445429,1941,178,3860,79,99,0.116679,0.0755875491455824,0.0006960313628833472,0.002712293101359059,-0.023797,4.359088106331236e-05
41,1.0,-0.671714,1660,3597,441,1852,1745,0.116441,0.07516210740901588,0.0002881382663854228,0.0016834886259613018,-0.024027,2.855531945565371e-05
42,4.0,0.701954,2168,3572,466,1829,1743,0.116906,0.0755069113954637,0.0009134770546241928,0.0004886625710501783,-0.024164,2.26335071258691e-05
43,4.0,0.749719,2120,3667,371,2003,1664,0.117043,0.07566730709444949,0.0006032345299697877,0.00020411145927940423,-0.024288,2.235548682381416e-05
44,1.0,0.357057,301,2724,1314,828,1896,0.117235,0.07574977372281903,0.0002666736979531697,0.0005337879838472013,-0.024194,2.889196174885059e-05
45,2.0,0.262092,1941,26,4012,6,20,0.117239,0.07575190768608166,0.0002666736979531697,0.0005337879838472013,-0.024191,1.5971184328697068e-05
46,1.0,0.323409,1254,2640,1398,761,1879,0.117383,0.07601190862004922,0.00047584262394500935,0.00035219534113758446,-0.024062,2.246506895360423e-05
47,4.0,-0.673508,2534,3606,432,1852,1754,0.117,0.07580067949293702,0.0006150830009446053,0.00033025589847671724,-0.023764,4.5504385616144475e-05
48,1.0,0.686776,3775,3670,368,1919,1751,0.117246,0.07634129217860097,0.0006606621990699024,0.0006779894866817799,-0.023531,8.005216972112096e-05
49,2.0,-0.370808,1660,3476,562,1164,2312,0.116966,0.076015100366711,0.001008804393008553,-9.53587924362628e-05,-0.02355,7.983967900559729e-05
50,1.0,0.382281,2338,2181,1857,749,1432,0.117232,0.07624668629636246,0.0015850545951536937,0.00038243187576192514,-0.023417,0.000100615341298244
51,0.0,-0.826821,936,3757,281,2129,1628,0.117139,0.07621739068591402,0.00162314309095873,0.0014227329814306665,-0.023147,0.00014261489564337893
52,4.0,-0.7165,1675,3718,320,1956,1762,0.11707,0.0761838944061649,0.0012387629979060551,0.002315446171989497,-0.02309,0.0001411781192135696
53,2.0,-0.621121,1660,3756,282,1873,1883,0.116813,0.07626002282242422,0.0015117893777957796,0.0026013099953209233,-0.022991,0.00012969096892884567
54,5.0,-0.46916,1660,2921,1117,1332,1589,0.116291,0.07629869766898592,0.001199960844752164,0.0023817532487390627,-0.022296,0.00014218547251884317
55,4.0,-0.67529,2534,3610,428,1812,1798,0.115988,0.07591658476600557,0.0012468993996172472,0.0031553566179427,-0.02225,0.0001452104704556262
56,0.0,0.527943,1459,2944,1094,1226,1718,0.116223,0.07592385103808157,0.0009722154882961604,0.00231694048021415,-0.022386,0.00014080796983666113
57,1.0,0.480674,2338,2395,1643,969,1426,0.116352,0.07604514074309672,0.0010288789571176074,0.0020992255053930275,-0.022281,0.00015882582078986739
58,5.0,0.64602,3287,3792,246,2099,1693,0.116825,0.07586803533717407,0.0010295905879992417,0.0016845058846512856,-0.022802,0.00014372875942389983
59,0.0,-0.408563,1660,3381,657,1147,2234,0.116651,0.07584699920494958,0.0009005440264380004,0.001128086301156895,-0.022712,0.00011786498126098824
60,2.0,0.548847,2534,3611,427,1592,2019,0.116992,0.07603932979137813,0.0006380756786924367,0.0014877180458040004,-0.022729,0.0001266186909250965
61,0.0,0.428672,2338,3125,913,1128,1997,0.117176,0.07609227100374055,0.0006619661328807619,0.0015223434165500948,-0.02282,0.00012693349966488358
62,4.0,0.552901,1660,3102,936,1349,1753,0.117367,0.07607034844772347,0.00108477041704067,0.0014935441124838515,-0.022857,0.0001450894788676565
63,3.0,0.778063,289,3708,330,2097,1611,0.117543,0.07627933032844234,0.0013143004997430495,0.0005314366217026053,-0.022926,0.0002946868792142769
64,1.0,-0.536411,1660,3480,558,1599,1881,0.117334,0.07607397409434684,0.0010839138913079462,0.0007969199938777801,-0.02321,0.0003106788821853094
65,0.0,-0.623669,1660,3116,922,1475,1641,0.117255,0.07604795577157925,0.0009755056490488987,0.0012789223845965762,-0.023035,0.00033980581954604224
66,3.0,0.509756,2338,2441,1597,1058,1383,0.117692,0.07647422390248358,0.0003865882125955939,0.0018821976778880273,-0.023211,0.00033270502314429267
67,0.0,0.655686,3234,3073,965,1484,1589,0.117997,0.07680998595597893,0.0009835501658548326,0.0012394106860340918,-0.023333,0.0003424552707303288
68,4.0,-0.339661,2677,1993,2045,583,1410,0.117889,0.07676403366494824,0.0008148646020494819,0.0014352546187792671,-0.023336,0.00034411571308404676
69,4.0,0.55661,2053,3499,539,1506,1993,0.118213,0.07721418206227318,0.0005867855437548838,0.0005381980909194491,-0.023458,0.0003394265738581658
70,2.0,0.649722,1344,3755,283,1884,1871,0.118749,0.07743946258236382,0.0005293519781174785,0.002156103263882036,-0.023403,0.0003203221544474205
71,0.0,0.676847,2338,3172,866,1572,1600,0.118904,0.0775389555958836,0.00025600878717898455,0.0023170493666185865,-0.02345,0.0002942542911149125
72,3.0,0.768761,366,3819,219,2115,1704,0.119437,0.07802261469950854,-0.00020440148181133616,0.002695719858391152,-0.023482,0.0002893430568985223
73,0.0,-0.505987,1660,3678,360,1474,2204,0.119323,0.07778296991103084,-0.00012284030877053698,0.002686336108406933,-0.023406,0.0002905905191416518
74,0.0,0.50125,2401,2878,1160,1125,1753,0.119695,0.07842341241502983,0.00029226820549469975,0.0032436972039620086,-0.023597,0.00025772641911689316
75,4.0,-0.412028,3388,2686,1352,942,1744,0.119407,0.07841034143115543,-1.5770229608007676e-05,0.003164290440733378,-0.023444,0.00027095379800605717
76,4.0,0.505494,1660,3518,520,1413,2105,0.119715,0.07854206145721919,0.00021315541330694366,0.0030199979321145483,-0.023498,0.00027687647688696824
77,5.0,0.41513,3457,1005,3033,417,588,0.119977,0.0784304822686186,0.0007306726675303224,0.003676380503137422,-0.023714,0.00030312015106374467
78,2.0,-0.426455,3379,3125,913,1155,1970,0.119734,0.07828962307251582,0.0007323278554195065,0.0022012955524411586,-0.023768,0.0002666062119699096
79,5.0,-0.271491,1660,2924,1114,845,2079,0.119626,0.07829934408339939,0.0009019925246659679,0.002554567005085026,-0.023576,0.0002945973731484191
80,1.0,-0.600844,2083,2782,1256,1370,1412,0.11939,0.0781715764340934,0.000679014074249665,0.0023500031876954484,-0.023855,0.0002844631072410163
81,0.0,0.826338,2338,3184,854,1788,1396,0.119688,0.07825445347616981,0.001094192145228803,0.002511789948452816,-0.023996,0.00027063569946681474
82,1.0,-0.335564,1754,3683,355,1119,2564,0.119401,0.07794643221633941,0.0016867406621719188,0.002341886983785693,-0.024131,0.00028416621031933603
83,0.0,-0.552554,1660,3194,844,1404,1790,0.119258,0.07794990103870172,0.001740165305012947,0.0030791791832505836,-0.024042,0.00027520778001480516
84,1.0,0.669822,2338,3614,424,1812,1802,0.119649,0.07849099654575649,0.002188025533807944,0.0030063441738109463,-0.023801,0.0002728288743450849
85,5.0,-0.51065,2731,3764,274,1803,1961,0.119103,0.07854831312445495,0.002669984152513495,0.000998812322484944,-0.02305,0.00031353461834112355
86,1.0,-0.624921,3372,732,3306,387,345,0.118987,0.07840916945012047,0.0019808662383224485,0.0014963336993565502,-0.023133,0.0002976298052685808
87,5.0,0.368528,3287,1016,3022,385,631,0.119242,0.07845851945476731,0.0017187625466493807,0.0012236757151533608,-0.02333,0.0002887331332493399
88,4.0,0.780724,2768,3628,410,1965,1663,0.119599,0.07868562260716391,0.0014363319745718918,0.000872067273226581,-0.023357,0.000250406517750454
89,2.0,-0.561024,1660,3429,609,1618,1811,0.119257,0.07861521874191431,0.0015023872064258838,0.0007053749180844889,-0.023311,0.00023893132587127596
90,0.0,0.534075,699,3086,952,1316,1770,0.119475,0.07856608581579018,0.0019191184340098977,0.0007501166768413746,-0.023347,0.00024054935013470753
91,4.0,0.41089,1660,3150,888,1092,2058,0.119843,0.07870073015953347,0.002197443456636199,0.0007406182827575996,-0.023427,0.00023279550017184543
92,2.0,0.428074,1601,3428,610,1271,2157,0.120124,0.07898901952517773,0.0022380360729826573,0.0005609046863126021,-0.02341,0.000217131325871276
93,2.0,0.344684,1356,3392,646,1012,2380,0.120325,0.07908679759104807,0.0020962979641116104,0.000678564730028934,-0.02346,0.0002277103893770943
94,1.0,0.6983,2338,3125,913,1614,1511,0.120601,0.07936323743303887,0.0017410928836393434,0.0005253039462841896,-0.023302,0.0002593209860594414
95,5.0,-0.568913,1660,2054,1984,1037,1017,0.120497,0.07942502037093771,0.0019248440732711947,0.0005026909218194555,-0.023079,0.00025702618041447973
96,4.0,0.540474,926,3124,914,1380,1744,0.120734,0.07970105037398356,0.0012397593219324236,3.8302035436739846e-05,-0.023106,0.0002576927810582034
97,2.0,-0.320614,3305,3076,962,897,2179,0.120504,0.07942094848772294,0.0009423065507620577,-2.4203426461127278e-05,-0.023107,0.00026274211257590585
