,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,2790,2177,1861,904,1273,0.114978,0.08478251367273584,-0.001838446534925004,0.0035975060769089426,-0.012558,-2.6004332755632585e-05
1,5.0,-0.455548,2030,3703,335,1569,2134,0.114693,0.08482032542984345,-0.0012546360257970322,0.003742606885402201,-0.012652,1.1739184616654296e-05
2,4.0,-0.672528,455,3833,205,1909,1924,0.114452,0.0845651243812829,-0.0011075336937847718,0.0042115758192213726,-0.012615,-5.431643558636618e-06
3,3.0,-0.597208,2790,3126,912,1497,1629,0.114299,0.08459209492405971,-0.0013029067253581361,0.0036559097380187595,-0.012511,-2.387018445159692e-05
4,4.0,-0.698781,1023,3804,234,1957,1847,0.114161,0.08458285294794078,-0.0018817342128286153,0.0027025622387111085,-0.012386,-1.341555003192556e-05
5,0.0,-0.368672,817,2771,1267,900,1871,0.113975,0.0843345321359766,-0.0019340598622336637,0.0024192143446852255,-0.012427,-1.1439402470648016e-05
6,1.0,-0.61331,762,2,4036,0,2,0.113966,0.08433166105336544,-0.0019340598622336637,0.0024192143446852255,-0.012423,9.465660663791205e-06
7,4.0,-0.17765,2357,2,4036,0,2,0.113965,0.08433047131469419,-0.0019340598622336637,0.0024192143446852255,-0.012422,1.9572345486767187e-05
8,5.0,0.720011,2214,3875,163,2162,1713,0.114342,0.08482783572130516,-0.0022066885505229567,0.0027530743249443166,-0.012293,-0.00011616590655581761
9,0.0,-0.663821,2070,3641,397,1803,1838,0.114092,0.08425902230709398,-0.0013317856012678227,0.0029918466892216965,-0.012374,-0.0001212335037333368
10,1.0,0.33854,2692,2377,1661,744,1633,0.114265,0.08443799485180042,-0.0010449490416127945,0.003146081130610227,-0.012229,-0.00011030186223791716
11,0.0,-0.744866,1547,3142,896,1709,1433,0.114158,0.08410722307489667,-0.0007021135097981172,0.0023907102714510117,-0.012306,-0.00012430547876251662
12,3.0,0.593472,1547,3,4035,0,3,0.114157,0.08410676303747229,-0.0007021135097981172,0.0023907102714510117,-0.012306,-0.00012801600116905287
13,3.0,0.364569,1547,3,4035,0,3,0.114157,0.0841064780943796,-0.0007021135097981172,0.0023907102714510117,-0.012307,-0.00013029536899937394
14,1.0,0.672398,2790,3520,518,1877,1643,0.114727,0.08455583691665604,-0.00046581689141501046,0.003897918461102376,-0.012092,-0.00011815357647647221
15,3.0,0.814067,3194,3942,96,2234,1708,0.114991,0.08472080421160232,-0.00016075007587092077,0.0029590078880393673,-0.012249,-0.00014677639771935413
16,4.0,-0.85685,3093,3595,443,2041,1554,0.114814,0.08474990272481923,-0.0004315623652154206,0.003578401135948474,-0.012099,-0.0001244132632801365
17,0.0,-0.785117,2790,3513,525,1907,1606,0.114509,0.08408289909233002,-0.0008874507029063528,0.003638517399645488,-0.012135,-0.00012876825213876483
18,2.0,-0.39117,402,2730,1308,938,1792,0.114308,0.0839876569280619,-0.0008406106327181887,0.004454147840333606,-0.011791,-0.0001656079154217557
19,4.0,-0.272472,2705,6,4032,0,6,0.114308,0.083989209677667,-0.0008406106327181887,0.004454147840333606,-0.01179,-0.00015407662879965452
20,5.0,-0.248584,2790,1843,2195,426,1417,0.114179,0.08388102148385063,-0.0009013901470328605,0.004474106834256324,-0.011837,-0.00015663514163286404
21,3.0,-0.828362,2790,3899,139,2228,1671,0.114005,0.08367959357660149,-0.0010100603262700135,0.004423085965890313,-0.011714,-0.00010180043007059615
22,5.0,-0.692933,2842,3823,215,2041,1782,0.113782,0.08355203961803186,-0.001255914863293019,0.004476674385670387,-0.011686,-0.00013618319808248028
23,4.0,-0.708449,1983,742,3296,364,378,0.113752,0.08361261293137918,-0.0013284042374144165,0.004476674385670387,-0.0117,-0.000125936750942099
24,3.0,-0.17273,3676,1,4037,0,1,0.113752,0.08361068949789428,-0.0013284042374144165,0.004476674385670387,-0.011698,-0.00011161355213051197
25,1.0,-0.587247,823,3694,344,1762,1932,0.113493,0.08353653111776428,-0.0011853521951908754,0.0044446857210328145,-0.011868,-0.00012947774018586122
26,4.0,0.931225,2790,3803,235,2193,1610,0.113908,0.0844697751462969,-0.00038874281103786553,0.0040706259909661195,-0.011774,-8.888425788826281e-05
27,3.0,0.460005,3440,2793,1245,1012,1781,0.114129,0.08441432930645953,-6.860452898083351e-05,0.004179311671314686,-0.011921,-8.503236385508629e-05
28,0.0,-0.838253,2790,3695,343,2006,1689,0.114094,0.08440820838295868,0.0002790572191606505,0.004165825038129983,-0.011946,-8.618718765635723e-05
29,1.0,0.335564,2790,2650,1388,808,1842,0.114335,0.08454870064903663,0.0006149032007001367,0.0032123089196411632,-0.011829,-7.496405693093011e-05
30,3.0,-0.331349,1605,2102,1936,588,1514,0.114304,0.08446044905663341,0.0007387051640700193,0.0032123089196411632,-0.01186,-8.129428718594375e-05
31,5.0,0.650553,1547,3742,296,1904,1838,0.11484,0.08479432701754834,0.0008898098190977848,0.002815147266476493,-0.011791,-5.5277769483542144e-05
32,0.0,-0.570672,1908,161,3877,79,82,0.114815,0.08472684970056767,0.0008915518171419366,0.00300863574248908,-0.011798,-4.465249094925148e-05
33,0.0,-0.245424,2519,4,4034,0,4,0.114815,0.08472702672732914,0.0008915518171419366,0.00300863574248908,-0.011798,-4.711079127111333e-05
34,1.0,-0.556553,1898,174,3864,79,95,0.114808,0.08476240047212084,0.000871139819284361,0.00300863574248908,-0.011817,-5.323228999191882e-05
35,3.0,0.062427,2235,1731,2307,92,1639,0.114816,0.08477177108482019,0.000871139819284361,0.00300863574248908,-0.011817,-5.3756936229563315e-05
36,4.0,-0.551645,1983,167,3871,69,98,0.114797,0.0847609719733013,0.000871139819284361,0.0031322255222996156,-0.011815,-6.32775353877708e-05
37,1.0,0.52511,3810,3568,470,1555,2013,0.11515,0.08490930751607256,0.0008558701318329762,0.003594599380027524,-0.011728,-5.49192261253021e-05
38,1.0,-0.489366,1378,2978,1060,1233,1745,0.114834,0.08427290160801086,7.163230301339863e-05,0.003254239020936041,-0.011925,-5.84563468901525e-05
39,4.0,-0.10524,1983,111,3927,11,100,0.114834,0.0842741551336048,7.163230301339863e-05,0.003254239020936041,-0.011923,-6.004348367018357e-05
40,2.0,0.445429,1547,3,4035,0,3,0.114835,0.08427528676181092,7.163230301339863e-05,0.003254239020936041,-0.011922,-5.305219869865594e-05
41,1.0,-0.671714,1547,3676,362,1905,1771,0.114537,0.08391948027159829,-0.0010437280375565883,0.0035211228983815473,-0.012012,-9.12667747638386e-05
42,4.0,0.701954,1547,3157,881,1533,1624,0.11478,0.08405397220403635,-0.0013068944983050444,0.003316666009283455,-0.011941,-5.7835405613058695e-05
43,4.0,0.749719,1547,3104,934,1587,1517,0.115039,0.08455092497271076,-0.0016787706031048265,0.0027871957851443524,-0.011899,-0.0001359256754818381
44,1.0,0.357057,2093,3227,811,1010,2217,0.115225,0.08457814288627134,-0.000994953443358785,0.0018803510806491893,-0.011813,-0.00013178219524745665
45,2.0,0.262092,61,6,4032,1,5,0.115225,0.08457642002962681,-0.000994953443358785,0.0018803510806491893,-0.011811,-0.00011676007756156081
46,1.0,0.323409,2790,2807,1231,806,2001,0.115384,0.08472317295088247,-0.001163117594678158,0.0014286050575872992,-0.011725,-0.00010218525706143701
47,4.0,-0.673508,1983,172,3866,82,90,0.115378,0.08471681538465056,-0.0012472911312074425,0.0014286050575872992,-0.011734,-0.00011380905007951078
48,1.0,0.686776,2790,3469,569,1793,1676,0.115988,0.08507490412273438,-0.0008720117207487431,0.0016250184815545397,-0.011581,-0.00011795448211714384
49,2.0,-0.370808,2790,2658,1380,874,1784,0.115761,0.08513989877396463,-0.0010029793226767195,0.001041409107052957,-0.011185,-0.00010753068909907008
